Field=Category~String~Category~145|Field=Manufacturer 1~String~Manufacturer 1~111|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~81|Field=Package / Case~String~Package / Case~40|Field=Description~String~Description~143|Field=Quantity~Integer~Quantity~28|Field=Supplier 1~String~Supplier 1~28|Field=Supplier Part Number 1~String~Supplier Part Number 1~27|Field=Supplier Order Qty 1~Integer~Supplier Order Qty 1~29|Field=Supplier Stock 1~Integer~Supplier Stock 1~29|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~29|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~29|Field=Supplier Currency 1~String~Supplier Currency 1~31|ReportField=Currency~USD|ReportField=ProductionQuantity~1000|ReportField=ProjectFileName~iMX6 Rex Development Baseboard V1I1.PrjPcb|ReportField=ProjectFullPath~S:\FEDEVEL\iMX6 Rex Development Baseboard\V1I1\iMX6 Rex Development Baseboard V1I1.PrjPcb|ReportField=Title~BOM Purchasing For Variant [Prototype] of Project [iMX6 Rex Development Baseboard V1I1.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~477|ReportField=ReportTime~10:41:42 AM|ReportField=ReportDate~12/3/2013|ReportField=ReportDateTime~12/3/2013 10:41:42 AM|ReportField=OutputName~BOM Purchasing|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~Prototype|ReportField=ClientCompanyName~FEDEVEL Academy|ReportField=ClientContactEmail~robert.feranec@fedevel.com|ReportField=ClientContactName~Robert Feranec|ReportField=ClientWebsite~http://www.fedevel.com/academy/|ReportField=Company~(c) 2013 FEDEVEL www.fedevel.com|ReportField=Project~iMX6 Rex Development Baseboard|ReportField=VersionRevision~V1I1|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~FEDEVEL|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~12/3/2013|ReportField=CurrentTime~10:40:57 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~S:\FEDEVEL\iMX6 Rex Development Baseboard\V1I1\iMX6 Rex Development Baseboard V1I1 Project.SchDoc|ReportField=DocumentName~iMX6 Rex Development Baseboard V1I1 Project.SchDoc|ReportField=DocumentNumber~20|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~11/7/2013|ReportField=Organization~FEDEVEL|ReportField=PageSetup~Record=PageOptions|CenterHorizontal=True|CenterVertical=True|PrintScale=1.07|XCorrection=1.00|YCorrection=1.00|PrintKind=1|BorderSize=5000000|LeftOffset=0|BottomOffset=0|Orientation=2|PaperLength=1000|PaperWidth=1000|Scale=100|PaperSource=7|PrintQuality=600|MediaType=1|DitherType=10|PaperKind=A3|PrintScaleMode=1|ReportField=ProjectName~iMX6 Rex Development Baseboard V1I1.PrjPcb|ReportField=Revision~V1I1|ReportField=Rule~|ReportField=SheetNumber~20|ReportField=SheetTotal~20|ReportField=Time~|ReportField=Title~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~iMX6 Rex Development Baseboard V1I1.PrjPcb|ReportField=DataSourceFullPath~S:\FEDEVEL\iMX6 Rex Development Baseboard\V1I1\iMX6 Rex Development Baseboard V1I1.PrjPcb
Battery Products|MPD (Memory Protection Devices)|BA2032||HOLDER COIN CELL CR2032 EJECT|1|Digi-Key|BA2032-ND|1000|50572|0.72|720|USD
Battery Products|Panasonic - BSG|CR2032||BATTERY LITHIUM COIN 3V 20MM|1|Digi-Key|P189-ND|1000|1725495|0.17|165|USD
Capacitors|AVX Corporation|TLNS227M004R3000|1206 (3216 Metric)|CAP TANT 220UF 4V 20% 1206|2|Digi-Key|478-5526-1-ND|2000|3884|0.49|984|USD
Capacitors|Kemet|C1206X102KGRACTU|1206 (3216 Metric)|CAP CER 1000PF 2000V X7R 1206 FT|1|Digi-Key|399-5830-1-ND|1000|9358|0.26|258.75|USD
Capacitors|Kemet|T495D337K010ATE150|2917 (7343 Metric)|CAP TANT 330UF 10V 10% 2917|6|Digi-Key|399-10511-1-ND|6000|3667|0.97|5821.2|USD
Capacitors|Kemet|T520D337M006ATE045|2917 (7343 Metric)|CAP TANT 330UF 6.3V 20% 2917|5|Digi-Key|399-4055-1-ND|5000|4858|0.7|3500|USD
Capacitors|Murata Electronics North America|GRM155R71H271KA01D|0402 (1005 Metric)|CAP CER 270PF 50V 10% X7R 0402|8|Digi-Key|490-1299-1-ND|8000|101100|0.01|42|USD
Capacitors|Murata Electronics North America|GRM155R71H272KA01D|0402 (1005 Metric)|CAP CER 2700PF 50V 10% X7R 0402|4|Digi-Key|490-1306-1-ND|4000|75505|0.01|22.8|USD
Capacitors|Murata Electronics North America|GRM21BR71H105KA12L|0805 (2012 Metric)|CAP CER 1UF 50V X7R 0805|1|Digi-Key|490-4736-1-ND|1000|209171|0.13|129.95|USD
Capacitors|Murata Electronics North America|GRM31CR6YA106KA12L|1206 (3216 Metric)|CAP CER 10UF 35V X5R 1206|7|Digi-Key|490-5524-1-ND|7000|60661|0.17|1178.1|USD
Capacitors|TDK Corporation|C1005C0G1H101J050BA|0402 (1005 Metric)|CAP CER 100PF 50V 5% NP0 0402|2|Digi-Key|445-1247-1-ND|2000|775250|0.01|12|USD
Capacitors|TDK Corporation|C1005C0G1H180J050BA|0402 (1005 Metric)|CAP CER 18PF 50V C0G 5% 0402|2|Digi-Key|445-1238-1-ND|2000|831632|0.01|12|USD
Capacitors|TDK Corporation|C1005X5R1A225K050BC|0402 (1005 Metric)|CAP CER 2.2UF 10V 10% X5R 0402|1|Digi-Key|445-7392-1-ND|1000|126191|0.09|92|USD
Capacitors|TDK Corporation|C1005X5R1A475M050BC|0402 (1005 Metric)|CAP CER 4.7UF 10V 20% X5R 0402|8|Digi-Key|445-8023-1-ND|8000|50115|0.1|760|USD
Capacitors|TDK Corporation|C1005X5R1C105K050BC|0402 (1005 Metric)|CAP CER 1.0UF 16V X5R 0402|38|Digi-Key|445-4978-1-ND|38000|2542003|0.02|706.8|USD
Capacitors|TDK Corporation|C1005X5R1C474K050BC|0402 (1005 Metric)|CAP CER .47UF 16V X5R 0402|5|Digi-Key|445-4976-1-ND|5000|205477|0.02|93|USD
Capacitors|TDK Corporation|C1005X5R1E224M050BC|0402 (1005 Metric)|CAP CER .22UF 25V X5R 20% 0402|1|Digi-Key|445-5945-1-ND|1000|43902|0.03|27.5|USD
Capacitors|TDK Corporation|C1005X5R1H104K050BB|0402 (1005 Metric)|CAP CER .10UF 50V X5R 10% 0402|85|Digi-Key|445-5942-1-ND|85000|437614|0.02|1779.05|USD
Capacitors|TDK Corporation|C1005X7R1C103K050BA|0402 (1005 Metric)|CAP CER 10000PF 16V X7R 10% 0402|1|Digi-Key|445-1262-1-ND|1000|289398|0.01|6|USD
Capacitors|TDK Corporation|C1005X7R1H103K050BB|0402 (1005 Metric)|CAP CER 10000PF 50V 10% X7R 0402|1|Digi-Key|445-6850-1-ND|1000|356906|0.01|15|USD
Capacitors|TDK Corporation|C1608X5R0J106M080AB|0603 (1608 Metric)|CAP CER 10UF 6.3V X5R 20% 0603|9|Digi-Key|445-4112-1-ND|9000|812255|0.08|697.95|USD
