Field=Category~String~Category~271|Field=Manufacturer 1~String~Manufacturer 1~90|Field=Designator~String~Designator~64|Field=Footprint~String~Footprint~64|Field=LibRef~String~LibRef~64|Field=Quantity~Integer~Quantity~64|Field=Description~String~Description~64|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~64|Field=Package / Case~String~Package / Case~64|Field=Supplier 1~String~Supplier 1~64|Field=Supplier Currency 1~String~Supplier Currency 1~64|Field=Supplier Order Qty 1~Integer~Supplier Order Qty 1~64|Field=Supplier Part Number 1~String~Supplier Part Number 1~64|Field=Supplier Stock 1~Integer~Supplier Stock 1~64|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~64|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~69|ReportField=Currency~USD|ReportField=ProductionQuantity~1000|ReportField=ProjectFileName~iMX6 Rex_V1I1.PrjPcb|ReportField=ProjectFullPath~S:\FEDEVEL\iMX6 Rex\V1I1\iMX6 Rex_V1I1.PrjPcb|ReportField=Title~BOM Live iMX6 Rex Module V1I1 1000pcs For Variant [Prototype] of Project [iMX6 Rex_V1I1.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~430|ReportField=ReportTime~3:13:02 PM|ReportField=ReportDate~9/27/2013|ReportField=ReportDateTime~9/27/2013 3:13:02 PM|ReportField=OutputName~BOM Live iMX6 Rex Module V1I1 1000pcs|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~Prototype|ReportField=ClientCompanyName~FEDEVEL Academy|ReportField=ClientContactEmail~robert.feranec@fedevel.com|ReportField=ClientContactName~Robert Feranec|ReportField=ClientWebsite~http://www.fedevel.com/academy/|ReportField=Company~(c) 2013 FEDEVEL www.fedevel.com|ReportField=Project~iMX6 Rex Module|ReportField=VersionRevision~V1I1|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~FEDEVEL|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~9/27/2013|ReportField=CurrentTime~3:12:39 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~S:\FEDEVEL\iMX6 Rex\V1I1\iMX6 Rex_V1I1 Project.SchDoc|ReportField=DocumentName~iMX6 Rex_V1I1 Project.SchDoc|ReportField=DocumentNumber~20|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~9/25/2013|ReportField=Organization~FEDEVEL|ReportField=PageSetup~Record=PageOptions|CenterHorizontal=True|CenterVertical=True|PrintScale=1.07|XCorrection=1.00|YCorrection=1.00|PrintKind=1|BorderSize=5000000|LeftOffset=0|BottomOffset=0|Orientation=2|PaperLength=1000|PaperWidth=1000|Scale=100|PaperSource=7|PrintQuality=600|MediaType=1|DitherType=10|PaperKind=A3|PrintScaleMode=1|ReportField=ProjectName~iMX6 Rex_V1I1.PrjPcb|ReportField=Revision~V1I1|ReportField=Rule~|ReportField=SheetNumber~20|ReportField=SheetTotal~20|ReportField=Time~|ReportField=Title~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~iMX6 Rex_V1I1.PrjPcb|ReportField=DataSourceFullPath~S:\FEDEVEL\iMX6 Rex\V1I1\iMX6 Rex_V1I1.PrjPcb
Capacitors|Murata Electronics North America|C12, C13, C14, C15, C16, C17, C96, C101, C106, C111, C118, C127, C128, C129, C135, C151, C172, C173|C0603|GRM188R60G226MEA0L|18|CAP CER 22UF 4V 20% X5R 0603|GRM188R60G226MEA0D|0603 (1608 Metric)|Digi-Key|USD|18000|490-5526-1-ND|0|2744.82|0.15
Capacitors|Murata Electronics North America|C179|C0402|GRM1555C1H561JA01D|1|CAP CER 560PF 50V C0G 0402|GRM1555C1H561JA01D|0402 (1005 Metric)|Digi-Key|USD|1000|490-3238-1-ND|91383|13.2|0.01
Capacitors|Murata Electronics North America|C2, C209, C210, C220, C228, C229, C241|C1206|GRM31CR6YA106KA12L|7|CAP CER 10UF 35V X5R 1206|GRM31CR6YA106KA12L|1206 (3216 Metric)|Digi-Key|USD|7000|490-5524-1-ND|37105|1178.1|0.17
Capacitors|Murata Electronics North America|C208, C227|C0805|GRM21BR71H105KA12L|2|CAP CER 1UF 50V X7R 0805|GRM21BR71H105KA12L|0805 (2012 Metric)|Digi-Key|USD|2000|490-4736-1-ND|231147|259.9|0.13
Capacitors|TDK Corporation|C1, C206, C207, C225, C226|C0402|C1005X5R1C105K|5|CAP CER 1.0UF 16V X5R 0402|C1005X5R1C105K050BC|0402 (1005 Metric)|Digi-Key|USD|5000|445-4978-1-ND|1072984|93|0.02
Capacitors|TDK Corporation|C137, C141, C147, C148, C156|C0805|C2012X5R1C226K|5|CAP CER 22UF 16V 10% X5R 0805|C2012X5R1C226K125AC|0805 (2012 Metric)|Digi-Key|USD|5000|445-6797-1-ND|100751|1237.5|0.25
Capacitors|TDK Corporation|C175, C176|C0402|C1005C0G1H220J|2|CAP CER 22PF 50V C0G 5% 0402|C1005C0G1H220J050BA|0402 (1005 Metric)|Digi-Key|USD|2000|445-1239-1-ND|448488|12|0.01
Capacitors|TDK Corporation|C182, C183, C184, C185, C188, C189, C193, C196, C197, C198, C200, C201, C202, C218, C237, C248, C249|C0402|C1005X7R1C103K|17|CAP CER 10000PF 16V X7R 10% 0402|C1005X7R1C103K050BA|0402 (1005 Metric)|Digi-Key|USD|17000|445-1262-1-ND|314229|85|0.01
Capacitors|TDK Corporation|C19, C80, C177, C178, C180, C186, C191, C194, C199, C204, C221, C222, C223|C0603|C1608X5R0J106M|13|CAP CER 10UF 6.3V X5R 20% 0603|C1608X5R0J106M080AB|0603 (1608 Metric)|Digi-Key|USD|13000|445-4112-1-ND|1200055|1008.15|0.08
Capacitors|TDK Corporation|C213, C214, C215, C216, C217, C232, C233, C234, C235, C236|C1206|C3216X5R1A107M|10|CAP CER 100UF 10V X5R 20% 1206|C3216X5R1A107M160AC|1206 (3216 Metric)|Digi-Key|USD|10000|445-6007-1-ND|244770|6270|0.63
Capacitors|TDK Corporation|C3, C4, C5, C6, C8, C9, C10, C11, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62, C64, C68, C73, C75, C76, C77, C79, C81, C82, C90, C91, C92, C93, C94, C95, C97, C98, C99, C100, C102, C103, C104, C105, C107, C108, C109, C110, C112, C113, C114, C115, C116, C117, C119, C120, C121, C122, C123, C124, C125, C126, C130, C131, C132, C133, C134, C136, C138, C140, C142, C143, C144, C145, C146, C149, C150, C152, C153, C154, C155, C157, C158, C159, C160, C161, C162, C163, C164, C165, C166, C167, C168, C169, C170, C171, C174|C0402|C1005X5R1E224M|126|CAP CER .22UF 25V X5R 20% 0402|C1005X5R1E224M050BC|0402 (1005 Metric)|Digi-Key|USD|126000|445-5945-1-ND|43170|2929.5|0.02
Capacitors|TDK Corporation|C69, C70, C71, C72, C139|C0402|C1005X7R1H103K|5|CAP CER 10000PF 50V 10% X7R 0402|C1005X7R1H103K050BB|0402 (1005 Metric)|Digi-Key|USD|5000|445-6850-1-ND|451928|62.5|0.01
Capacitors|TDK Corporation|C7, C18, C20, C63, C65, C66, C67, C74, C87, C88, C89, C181, C187, C190, C192, C195, C203, C205, C211, C212, C219, C224, C230, C231, C238, C239, C240, C242|C0402|C1005X5R1H104K|28|CAP CER .10UF 50V X5R 10% 0402|C1005X5R1H104K050BB|0402 (1005 Metric)|Digi-Key|USD|28000|445-5942-1-ND|908447|586.04|0.02
Capacitors|TDK Corporation|C78, C243, C244, C245, C246, C247|C0402|C1005X5R1A475M|6|CAP CER 4.7UF 10V 20% X5R 0402|C1005X5R1A475M050BC|0402 (1005 Metric)|Digi-Key|USD|6000|445-8023-1-ND|87064|570|0.1
Capacitors|TDK Corporation|C83, C84, C85, C86|C0402|C1005C0G1H180J|4|CAP CER 18PF 50V C0G 5% 0402|C1005C0G1H180J050BA|0402 (1005 Metric)|Digi-Key|USD|4000|445-1238-1-ND|53804|24|0.01
Connectors, Interconnects|Samtec Inc|J1, J2|QSH-030-01-L-D-A|QSH-030-01-L-D-A|2|CONN RCPT HI-SPD .5MM 60POS DL|QSH-030-01-L-D-A||Digi-Key|USD|2000|SAM8180-ND|5487|11750|5.88
Crystals and Oscillators|Abracon Corporation|Y1|ABM7_v1_1|ABM7-24.000MHZ-D-2-Y-T|1|CRYSTAL 24.0000MHZ 18PF SMD|ABM7-24.000MHZ-D2Y-T|2-SMD|Digi-Key|USD|1000|535-9845-1-ND|25397|665|0.67
Crystals and Oscillators|Abracon Corporation|Y2|ABS06|ABS06-32.768KHZ-9-1-T|1|CRYSTAL 32.768 KHZ 9.0 PF SMD|ABS06-32.768KHZ-9-1-T|2-SMD, No Lead (DFN, LCC)|Digi-Key|USD|1000|535-10247-1-ND|15296|1125|1.13
